site,date,shell_num,length,height,width,ages,haline or white,Param,Value
Barnstable,3/1/2022,M1,NA,,,NA,NA,,
Barnstable,3/1/2022,M2,NA,,,NA,NA,,
Dennis,10/10/2021,M3,6.25,4.73,NA,NA,NA,,
Nobscusset,8/10/2021,M4,7.11,5.53,NA,2,H,,
Barnstable,8/11/2021,M5,12.26,,,3,H,,
Chatham,8/10/2021,1,7.25,5.69,NA,2,H,,
Eel Pond,8/13/2021,2,7.33,5.45,NA,NA,NA,,
Eel Pond,8/13/2021,3,NA,,,NA,NA,,
Nobscusset,12/3/2021,4,8.33,5.99,NA,NA,NA,,
Eel Pond,8/13/2021,5,NA,,,NA,NA,,
Barnstable,8/11/2021,6,13.5,10.29,NA,2,H,,
Barnstable,12/2/2021,7,15,11.51,NA,7,W,,
Chatham,6/14/2022,8,9.83,7.14,NA,5,H,,
Chatham,6/14/2022,9,9,6.35,NA,4,H,,
?,6/14/2022,10,8.5,6.5,NA,NA,NA,,
?,6/14/2022,11,9.96,6.98,NA,NA,NA,,
Nobscusset,8/10/2021,12,NA,,,NA,NA,,
Eel Pond,12/1/2021,13,5.06,3.75,NA,1,W,,
Eel Pond,12/1/2021,14,7.27,5.11,NA,2,H,,
Provincetown,7/14/2022,15,9.56,7.53,NA,3,H,,
Dennis,7/13/2022,16,8.89,6.77,NA,2,H,,
Eel Pond,7/15/2022,17,7.96,5.97,NA,4,H,,
Eel Pond,7/15/2022,18,8.45,6.4,NA,NA,NA,,
Dennis,7/13/2022,19,14.06,10.77,NA,8,H,,
Barnstable,11/5/2022,Am1,15.1,11.46,NA,7,H,,
Barnstable,11/5/2022,Am2,15.3,11.81,NA,8,H,,
Barnstable,12/6/2022,Am3,14.7,11.62,NA,12,H,,
Dennis,11/7/2022,Am4,14.9,11.17,NA,6,W,,
Eel Pond,3/23/2023,Am5,NA,,,NA,NA,,
Eel Pond,3/23/2023,Am6,NA,,,NA,NA,,
Eel Pond,3/23/2023,Am7,NA,,,NA,NA,,
Eel Pond,3/23/2023,Am8,NA,,,NA,NA,,
Eel Pond,4/19/2023,Am9,NA,,,NA,NA,,
Eel Pond,4/19/2023,Am10,NA,,,NA,NA,,
Eel Pond,3/23/2023,Am11,NA,,,NA,NA,,
Eel Pond,9/11/2021,G1,9.31,6.31,3.68,3,H,,
Eel Pond,9/11/2021,G2,7.08,5.25,3.08,2,H,,
Eel Pond,9/11/2021,G3,6.18,4.56,2.71,2,H,,
Eel Pond,9/11/2021,G4,6.06,4.4,2.55,2,H,,
Eel Pond,8/3/2022,G5,7.77,5.54,2.97,2,H,,
Barnstable,7/13/2022,G6,7.47,5.89,3.5,1,W,,
Provincetown,7/14/2022,G7,9.17,7.17,4.18,3,H,,
Eel Pond,3/2/2022,G8,7.57,5.73,3.48,NA,NA,,
Eel Pond,10/6/2021,G9,6.05,4.51,2.66,1,H,,
Eel Pond,11/8/2021,G10,8.28,6.16,3.45,NA,NA,,
Eel Pond,3/2/2022,G11,9.26,6.82,3.95,6,H,,
Eel Pond,5/18/2022,G12,7.69,5.7,2.95,NA,NA,,
Eel Pond,5/18/2022,G13,6.48,4.65,2.69,1,W,,
Eel Pond,5/20/2022,G14,8.24,5.84,3.16,4,W,,
Eel Pond,5/20/2022,G15,8.57,6.42,3.5,4,W,,
Barnstable,3/1/2022,G16,15.2,12.01,6.17,9,W,,
Provincetown,6/15/2022,G17,9.67,7.28,4.11,2,W,,
Provincetown,6/15/2022,G18,11.22,8.45,4.85,2,W,,
Provincetown,6/15/2022,G19,11.52,8.71,5.05,4,H,,
Provincetown,6/15/2022,G20,12.04,9.33,5.1,4,H,,
Provincetown,6/15/2022,G21,11.12,8.7,4.88,3,H,,
Dennis,2/16/2023,G22,12.35,9.16,4.84,4,H,,
Dennis,2/16/2023,G23,11.16,8.56,4.56,3,W,,
Eel Pond,6/16/2022,G24,8.31,6.23,3.58,3,H,,
Dennis,9/7/2021,G25,12.79,9.69,5.36,6,H,,
Barnstable,11/4/2021,G26,6.15,4.81,2.73,1,H,,
Barnstable,11/4/2021,G27,9.88,7.61,4.59,1,W,,
Chatham,11/5/2021,G28,7.98,6.12,3.64,3,H,,
Chatham,11/5/2021,G29,4.4,3.6,2.11,NA,NA,,
Eel Pond,8/13/2021,G30,8.77,6.46,NA,2,H,,
Chatham,12/3/2021,G31,9.08,7.05,NA,3,H,,
Provincetown,10/26/2022,G32,10.17,7.75,4.59,3,W,,
Eel Pond,4/18/2022,G33,8.3,5.95,NA,2,W,,
Eel Pond,4/18/2022,G34,NA,5.3,NA,1,W,,
Barnstable,8/11/2022,G35,11.86,9.6,NA,NA,NA,,
Provincetown,10/26/2022,G36,9.8,7.48,4.07,3,H,,
Provincetown,10/26/2022,G37,7.96,6.04,3.69,2,W,,
Provincetown,10/26/2022,G38,11.44,8.77,4.91,3,H,,
Chatham,11/8/2022,G39,7.07,5.05,3.07,1,H,,
Chatham,11/8/2022,G40,8.11,5.79,3.32,2,W,,
Barnstable,10/27/2022,G41,11.29,8.98,4.78,4,H,,
Provincetown,11/4/2022,G42,11.14,8.36,4.56,4,H,,
Provincetown,11/4/2022,G43,10.55,8.1,4.5,3,H,,
Provincetown,11/4/2022,G44,9.49,7.39,4.11,3,W,,
Dennis,11/7/2022,G45,10.45,7.67,4.05,2,W,,
Provincetown,12/4/2022,G46,7.67,5.94,3.43,NA,NA,,
Chatham,12/7/2022,G47,9.2,6.89,3.82,NA,NA,,
Dennis,11/7/2022,G48,13.2,10.4,5.69,4,H,,
Chatham,12/7/2022,G49,4.9,3.6,2.06,NA,NA,,
Barnstable,8/16/2022,G50,5.85,4.64,2.74,1,H,,
Chatham,8/13/2022,G51,7.69,8.33,4.64,1,H,,
Dennis,3-Dec,G52,13.54,6.01,3.6,4,W,,
Barnstable,8/16/2022,G53,10.65,10.47,5.87,2,H,,
Barnstable,8/16/2022,G54,7.69,10.09,6.03,2,H,,
Provincetown,8/14/2022,G55,13.45,11.5,5.88,8,H,,
Provincetown,8/14/2022,G56,13.37,6.5,3.86,6,W,,
Barnstable,7/13/2022,G57,14.54,5.55,3.27,7,H,,
Eel Pond,8/15/2022,G58,8.78,6.5,3.86,4,H,,
Eel Pond,8/15/2022,G59,7.59,5.55,3.27,2,H,,
Eel Pond,8/15/2022,G60,8.45,6.06,3.82,2,H,,
Chatham,1/18/2023,G61,9.67,7.1,3.94,4,H,,
Provincetown,1/21/2023,G62,12.75,10.33,5.65,8,H,,
Chatham,1/18/2023,G63,10.45,7.81,4.15,4,H,,
Barnstable,2/23/2023,G64,8.11,6.31,3.96,1,W,,
Chatham,1/18/2023,G65,7.25,5.29,2.91,1,W,,
Dennis,1/22/2023,G66,11.03,8.6,4.76,2,W,,
Chatham,2/22/2023,G67,9.12,6.7,3.57,3,W,,
Provincetown,2/21/2023,G68,10.9,8.72,4.95,3,W,Linf1,15.3
Dennis,1/22/2023,G69,13.95,10.92,5.74,7,H,Linf2,15.3
Barnstable,5/9/2023,G70,13.28,10.2,5.31,2,W,Linf3,15.3
Provincetown,5/10/2023,G71,12.96,10.49,5.72,6,W,Linf4,15.3
Provincetown,5/10/2023,G72,5.3,4.27,2.48,1,W,Linf5,15.3
Provincetown,3/20/2023,G73,5.57,4.43,2.95,1,W,K1,0.246
Provincetown,3/20/2023,G74,8.42,6.69,2.95,3,W,K2,0.246
Provincetown,3/20/2023,G75,12.01,9.38,5.09,3,W,K3,0.246
Provincetown,3/20/2023,G76,13.46,9.93,5.38,4,W,K4,0.246
Barnstable,3/21/2023,G77,16.8,13.51,6.69,10,W,K5,0.246
Barnstable,3/21/2023,G78,13.55,11.42,5.85,4,W,,
Provincetown,2/21/2023,G79,9.67,7.71,4.18,2,W,,
Provincetown,2/16/2023,G80,11.22,8.65,4.85,3,W,,
Dennis,5/11/2023,G81,14.45,11.41,5.95,9,H,,
Chatham,5/11/2023,G82,5.99,4.18,2.48,1,W,,
Chatham,5/12/2023,G83,6.11,4.43,2.6,1,W,,
Dennis,1/22/2023,G84 ,4.57,3.72,2.27,NA,NA,,
Dennis,1/22/2023,G85,13.34,10.91,5.88,10,H,,
Dennis,1/22/2023,G86,13,9.7,5.34,4,W,,
Dennis,1/22/2023,G87,12.26,9.41,4.95,4,H,,
Dennis,5/12/2023,G88,11.54,9.17,4.81,4,W,,
Dennis,5/12/2023,G89,13.72,10.79,5.61,5,W,,
