site,date,shell_num,ages,growth_y1,growth_y2,growth_y3,growth_y4,growth_y5,growth_y6,growth_y7,growth_y8,growth_y9,growth_y10,growth_y11,growth_y12
N. Cape: Barnstable,3/1/22,M1,NA,,,,,,,,,,,,
N. Cape: Barnstable,3/1/22,M2,NA,,,,,,,,,,,,
N. Cape: Dennis,10/10/21,M3,NA,NA,,,,,,,,,,,
Nobscusset,8/10/21,M4,2,,,,,,,,,,,,
N. Cape: Barnstable,8/11/21,M5,3,8.61,4.18,,,,,,,,,,
S. Cape: Chatham,8/10/21,1,2,2.65,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,2,NA,,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,3,NA,,,,,,,,,,,,
Nobscusset,12/3/21,4,NA,,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,5,NA,,,,,,,,,,,,
N. Cape: Barnstable,8/11/21,6,2,6.76,4.67,,,,,,,,,,
N. Cape: Barnstable,12/2/21,7,7,7.10,5.32,2.79,1.62,1.37,1.09,,,,,,
S. Cape: Chatham,6/14/22,8,5,0.74,4.26,1.72,1.59,,,,,,,,
S. Cape: Chatham,6/14/22,9,4,2.56,2.69,1.73,,,,,,,,,
?,6/14/22,10,NA,,,,,,,,,,,,
?,6/14/22,11,NA,,,,,,,,,,,,
Nobscusset,8/10/21,12,NA,,,,,,,,,,,,
S. Cape: Eel Pond,12/1/21,13,1,NA,,,,,,,,,,,
S. Cape: Eel Pond,12/1/21,14,2,2.53,,,,,,,,,,,
N. Cape: Provincetown,7/14/22,15,3,5.61,3.35,,,,,,,,,,
N. Cape: Dennis,7/13/22,16,2,NA,,,,,,,,,,,
S. Cape: Eel Pond,7/15/22,17,4,3.05,1.30,0.49,,,,,,,,,
S. Cape: Eel Pond,7/15/22,18,NA,NA,,,,,,,,,,,
N. Cape: Dennis,7/13/22,19,8,7.72,3.57,1.89,1.38,1.54,1.05,0.79,,,,,
N. Cape: Barnstable,11/5/22,Am1,7,4.92,2.59,2.95,1.71,1.19,0.94,,,,,,
N. Cape: Barnstable,11/5/22,Am2,8,4.93,4.98,2.59,1.49,1.42,1.25,0.88,,,,,
N. Cape: Barnstable,12/6/22,Am3,12,2.41,2.04,2.13,1.60,1.42,0.84,1.28,0.64,0.72,0.45,0.39,
N. Cape: Dennis,11/7/22,Am4,6,10.53,1.58,1.69,1.06,0.77,,,,,,,
S. Cape: Eel Pond,3/23/23,Am5,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am6,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am7,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am8,,,,,,,,,,,,,
S. Cape: Eel Pond,4/19/23,Am9,,,,,,,,,,,,,
S. Cape: Eel Pond,4/19/23,Am10,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am11,,,,,,,,,,,,,
