site,shell_num,growth_period,dist_addition,cumul_dist
N. Cape: Barnstable,M1,,,
N. Cape: Barnstable,M2,,,
N. Cape: Dennis,M3,,,
Nobscusset,M4,,,
N. Cape: Barnstable,M5,1-2,8.61,8.61
N. Cape: Barnstable,M5,2-3,4.18,12.79
S. Cape: Chatham,1,1-2,2.65,2.65
S. Cape: Eel Pond,2,,,
S. Cape: Eel Pond,3,,,
Nobscusset,4,,,
S. Cape: Eel Pond,5,,,
N. Cape: Barnstable,6,1-2,6.76,6.76
N. Cape: Barnstable,6,2-3,4.67,11.43
N. Cape: Barnstable,7,1-2,7.1,7.1
N. Cape: Barnstable,7,2-3,5.32,12.42
N. Cape: Barnstable,7,3-4,2.79,15.21
N. Cape: Barnstable,7,4-5,1.62,16.83
N. Cape: Barnstable,7,5-6,1.37,18.2
N. Cape: Barnstable,7,6-7,1.09,19.29
S. Cape: Chatham,8,1-2,0.74,0.74
S. Cape: Chatham,8,2-3,4.26,5
S. Cape: Chatham,8,3-4,1.72,6.72
S. Cape: Chatham,8,4-5,1.59,8.31
S. Cape: Chatham,9,1-2,2.56,2.56
S. Cape: Chatham,9,2-3,2.69,5.25
S. Cape: Chatham,9,3-4,1.73,6.98
?,10,,,
?,11,,,
Nobscusset,12,,,
S. Cape: Eel Pond,13,,,
S. Cape: Eel Pond,14,1-2,2.53,2.53
N. Cape: Provincetown,15,1-2,5.61,5.61
N. Cape: Provincetown,15,2-3,3.35,8.96
N. Cape: Dennis,16,,,
S. Cape: Eel Pond,17,1-2,3.05,3.05
S. Cape: Eel Pond,17,2-3,1.3,4.35
S. Cape: Eel Pond,17,3-4,0.49,4.84
S. Cape: Eel Pond,18,,,
N. Cape: Dennis,19,1-2,7.72,7.72
N. Cape: Dennis,19,2-3,3.57,11.29
N. Cape: Dennis,19,3-4,1.89,13.18
N. Cape: Dennis,19,4-5,1.38,14.56
N. Cape: Dennis,19,5-6,1.54,16.1
N. Cape: Dennis,19,6-7,1.05,17.15
N. Cape: Dennis,19,7-8,0.79,17.94
N. Cape: Barnstable,Am1,1-2,4.92,4.92
N. Cape: Barnstable,Am1,2-3,2.59,7.51
N. Cape: Barnstable,Am1,3-4,2.95,10.46
N. Cape: Barnstable,Am1,4-5,1.71,12.17
N. Cape: Barnstable,Am1,5-6,1.19,13.36
N. Cape: Barnstable,Am1,6-7,0.94,14.3
N. Cape: Barnstable,Am2,1-2,4.93,4.93
